,material_id,composition,band_gap
254,539,BiSBr,1.9
255,480,Bi2I4O13,3.3
256,1226,CuCd2InTe4,0.85
257,1835,Hg2I2Te2,1.85
258,1139,Cu1.8S,2.3
259,3731,RhSe3,0.7
260,1290,Dy2Mo3O12,1.92
261,3511,PrCuOS,3.03
263,1978,In0.99Al0.01P,1.3
264,1606,Ga2GeTe3,0.845
265,2134,K2ZnSn3S8,2.3333333333333335
266,2667,LiI,5.84
267,3758,Sb8O11I2,2.72
268,4032,Sr3Ti2O7,3.26
269,1820,Hg0.6Cd0.4Se,0.95
270,1421,Eu3P2,1.2
271,3855,SiP,2.0
272,4920,ZrNiSb,0.55
273,3443,PdSe2,0.4
274,1948,In0.01P0.01Ga0.99As0.99,1.43
275,276,Ba3Er2P4S16,3.3
276,3428,PbTe0.99Se0.01,0.297
277,3338,Pb0.999Sn0.001Te,0.235
278,3334,Pb0.995TeIn0.005,0.43
279,682,Cd4As2I3,2.095
281,2021,InP,1.368835
282,3898,Sm4GaSbS9,2.23
283,3263,OsS2,2.0
284,388,BaIn2P4O14,3.97
285,4436,TlTiPS5,1.3
286,74,AgGaTe2,1.1
287,3419,PbSe0.95S0.05,0.257
288,3514,PrF3,5.6
290,1733,GeS,1.690090909090909
291,3630,RbAg2TeS6,2.04
292,1891,Ho2O3,5.42
293,988,Cs4Ag9Sb4S12,2.0
294,1165,Cu2Ta11O30,2.59
296,1987,In2As2O5Cl2,4.62
297,2041,InSb2S4Cl,1.8
298,1424,Eu3Sb4Se9,1.08
299,1602,Ga1.05Sb0.95Se0.15,0.66
300,316,Ba4Ga4SnSe12,2.16
301,979,Cs3Bi2I9,1.85
302,461,Bi1.6Te3Sb0.4,0.161
303,1729,GeO2,5.576666666666667
304,2577,Li6Al2Te8O22,3.63
305,1449,EuDy2Se4,1.8
306,1379,ErBiW2O9,3.26
307,570,Ca2SnS4,2.32
309,3281,Pb0.65Se0.65Sn0.35Te0.35,0.09
310,1676,GdAs,0.63
312,2963,Na2B6O9F2,7.33
313,549,CBr4,3.7
315,2957,Na0.75Eu1.625GeSe4,2.0
316,1661,Gd2S3,2.55
317,2984,Na2Hg3Sn2S8,2.45
318,531,BiI3,1.9315714285714285
319,1878,HgSc,0.24
320,3959,Sn0.5GaZn3.5O6,2.99
321,2064,K10Mn4Sn4S17,2.3
322,229,Ba2In2S5,2.47
324,633,CaLa2S4,2.7
325,2034,InSb0.5As0.5,0.1
326,1010,CsAu,2.3
327,1809,Hg0.14Zn0.86Te,1.6949999999999998
328,993,Cs4Pb4Ge5S16,1.95
329,1812,Hg0.25Zn0.75Te,1.31
330,1890,Ho2Mo3O12,1.375
331,420,BaTe,3.4
333,1496,EuTe,2.007
334,1821,Hg0.72Cd0.28Te,0.21
335,2079,K2AuPS4,2.63
336,4328,TiNiSb,0.42
337,1181,Cu3DyTe3,0.34
338,2656,LiGaS2,3.8433333333333337
339,3725,RhAs2,1.15
340,4933,ZrSe2,2.0
341,1663,Gd2Te3,0.74
342,3626,Rb7Th2P6Se21,2.07
343,167,AsSb,1.6
344,662,CaZnOS,3.7
345,4004,Sr2Bi5.42La2.58S14,1.0
346,1457,EuH2,1.85
347,3579,Rb2Hg3Ge2S8,2.8
348,4743,YbIn3S6,1.31
349,105,AgTlSe2,0.72
351,3639,RbBiSe2,0.8466666666666667
352,3344,Pb0.99Se0.99Ge0.01Te0.01,0.23
353,594,Ca4Bi6O13,2.76
354,3540,PrTe1.9,1.0
355,1001,Cs6Na2Zn4Ge42,0.297
356,4826,Zn3V2TeO10,2.96
357,3348,Pb0.99Te0.99Ge0.01S0.01,0.32
358,1086,CsSmCdSe3,2.46
360,3992,SnS0.4Se0.6,1.0
361,1182,Cu3ErTe3,0.24
362,3567,Rb2CdP2Se6,2.58
363,472,Bi24VO41,3.25
364,262,Ba2ZnTe3,2.1
365,1861,HgBr2,3.59
366,1203,Cu3YSe3,0.88
367,2402,Li0.5Pb1.75GeS4,1.95
368,2842,MgGeN2,4.300000000000001
369,73,AgGaSiSe4,2.63
370,745,Ce10OSe14,1.93
371,1547,Ga0.01Sb0.01Zn0.99Te0.99,2.1
372,4644,YClMoO4,3.82
373,3440,PdS,0.5
374,3292,Pb0.85Ge0.15Te,0.36
375,969,Cs2TiAg2S4,2.44
376,3044,NaAsSe2,1.595
377,1619,GaAs0.01P0.99,2.23
378,929,Cs2Al2B2O7,4.13
379,3345,Pb0.99Se0.99Sn0.01Se0.01,0.31
380,4360,Tl2PrInSe4,0.93
381,1248,CuIn3S5,1.2
382,153,As2B12,1.51
383,2086,K2CdP2Se6,2.58
384,1130,Cu0.5In1.5Se2.5,1.24
385,1832,Hg2Cl2,3.3800000000000003
386,1106,CsZn2B3O7,5.69
387,938,Cs2Cu2Sb2S5,1.6
388,2052,IrP2,1.05
389,430,BaV2SeO8,2.13
391,2443,Li2In2GeSe6,2.3
392,4106,Ta0.67Zr1.33O0.42N2.61,1.93
393,2100,K2Gd2Ti3O10,3.3
394,1678,GdB66,1.27
395,1825,Hg0.7Cd0.3Te,0.31
396,2070,K2Ag3Sb3S7,2.2
397,1253,CuInGeSe4,1.3
398,3591,Rb2TeBr6,2.14
400,706,CdGeAs2,0.6588888888888889
402,2269,KZn4B3O9,2.32
403,1628,GaAs0.5P0.5,2.0
405,2245,KRbBi8Se13,0.64
406,3294,Pb0.85Se0.85Ge0.15Te0.15,0.32
407,1666,Gd2ZrS5,1.88
408,3631,RbAg5P2S8,2.4
410,3872,Sm2Mn3Sb4S12,1.5
411,1951,In0.2As0.2Ga0.8P0.8,2.15
412,2174,K8Ga8Si38,1.18
413,3833,Se0.5Te0.5,1.0
414,2213,KEuAsS4,1.89
415,4860,ZnSnO3,3.9
416,930,Cs2B4SiO9,6.53
417,2328,La3Sb0.33SiS7,1.92
418,327,Ba5CdGa6Se15,2.6
419,3290,Pb0.83Sn0.17Se,0.035
420,675,Cd3Bi2,0.2
421,3384,Pb4Sb6Se13,0.65
423,1345,DyTe1.40,0.6
424,3398,PbCoO3,0.28
428,1543,Ga0.01Al0.99P,2.49
429,3260,OsP4,0.5
430,3107,Nb2O5,3.08
431,255,Ba2SnSe4,1.9
432,740,CdSnP2,1.30625
433,4000,SnTe,0.33
434,1565,Ga0.5P0.5Zn0.5Se0.5,2.13
435,3305,Pb0.8Sn0.2Se,0.066
436,3285,Pb0.75Sn0.25Se,0.04
437,481,Bi2Mo2Se2O13,3.15
438,2622,LiBr,7.725
439,3023,Na3ZnB5O10,3.2
440,1627,GaAs0.4P0.6,2.1
441,1232,CuFeSe2,0.155
442,2135,K2ZnTe2,3.0
444,3735,RuAs2,0.8
445,4395,TlCr5S4Se4,0.85
446,4790,Zn0.55Hg0.45Se,0.8
447,345,Ba8Al10B12O41,3.1
448,2734,LiZnN,1.945
449,346,Ba8Ga10Si36,0.31
450,2981,Na2Hg3Ge2S8,2.68
451,471,Bi24BO39,2.91
452,293,Ba3P3O10Cl,6.89
453,402,BaO,4.8
454,4081,SrPb3Br8,3.2
455,190,Ba23Ga8Sb2S38,2.84
456,173,B12P2,3.3
457,1004,CsAg2TeS6,2.04
458,1829,Hg0.9Cd0.1Se,1.3733333333333333
459,981,Cs3Nb9Te4O32,3.22
461,1150,Cu2GeS3,0.53
462,2975,Na2EuGeSe4,2.0
463,1338,DyPO4,6.38
464,3504,PrBN2,4.0
465,2604,Li9Ga13Te21O66,4.45
466,2266,KV2I3O13,2.3
467,1659,Gd2Mo3O12,4.119999999999999
468,1706,Ge0.653Si0.347,1.914
469,4258,ThOS,2.22
470,362,BaB6,2.64
471,1730,GeP,0.95
472,521,Bi6Cu3S10I,0.72
473,4038,Sr5V3O12F,4.5
474,3636,RbBi3Se4Te,0.8
475,545,BiSeI,1.3
476,1087,CsSmHgSe3,2.374
477,742,CdTeO3,3.73
478,673,Cd2V2Te2O11,2.48
479,4831,ZnAs,0.9
480,1174,Cu2ZnSiTe4,1.47
482,764,Ce2YbCuS5,1.37
483,309,Ba4B11O20F,7.1
484,244,Ba2InYSe5,2.31
485,3320,Pb0.95Mn0.05Te,0.37
486,3620,Rb5BS4O16,3.99
488,287,Ba3MgTa2O9,4.28
489,1377,ErB6,3.5
492,3989,SnS,1.1967272727272726
493,318,Ba4Ge3Se9Cl2,1.89
497,2338,La4InSbSe9,1.76
498,1437,EuBiW2O9,3.63
499,727,CdS0.35Se0.65,1.93
500,584,Ca3La2Sn3S12,1.45
501,2214,KF,10.3
502,3845,Si30P16Te8,1.24
503,942,Cs2Ga2S5,3.26
504,1056,CsInTe2,2.16
505,3738,RuP2,0.9
506,3535,PrSb,0.66
507,3977,SnGa2GeS6,2.04
508,152,AlVTe2O8,2.9
509,1148,Cu2CdSnSe4,0.96
510,4389,TlBr,2.991275
511,4765,YbSb2Te4,0.34
512,3337,Pb0.999Se0.999Sn0.001Se0.001,0.2774999999999999
513,2313,La2YbCuSe5,1.15
514,3720,Rh0.67S2,1.5
515,2089,K2Cu2Sn2S6,1.47
516,3070,NaIn3S5,2.18
517,537,BiPO4,3.85
518,363,BaBiO2Cl,3.71
519,4030,Sr3Se3O8Cl,4.4
520,3136,NbSe2,1.4
522,3682,RbPbPO4,4.35
523,340,Ba6Sn6Se13,1.52
524,1994,In2S3,2.0
525,983,Cs3Sb2Br9,2.3
526,3279,Pb0.59Ge0.41Te,0.49
527,3533,PrO,0.55
528,596,Ca5B3O9F,6.53
530,3479,Pr2S3,2.64
531,1992,In2P3B1O12,5.39
532,1359,Er2Se3,1.66
533,299,Ba3Ta5O14N,2.8
534,4639,YB66,0.8
535,2584,Li6Ga2Te8O22,3.85
536,3652,RbCu2SbS3,1.67
537,4810,Zn2MoSeO7,4.2
539,696,CdAs2,1.0666666666666669
540,756,Ce2S3,1.12
541,1655,Gd1.05Sc0.95Se3,1.2
542,1166,Cu2Ta4O11,2.6500000000000004
543,3998,SnSe2,1.62
544,651,CaSnO3,4.4
545,3426,PbTe0.05Se0.95,0.262
546,1580,Ga0.95Sb0.95Hg0.05Te0.05,0.69
547,4551,UY4O3S5,1.95
548,2298,La2O2MnSe2,1.6
549,84,AgInSe2,1.1828571428571428
550,3157,Nd2ZrS5,1.83
551,4355,Tl2Hg3Te4,0.9
552,1201,Cu3TmTe3,0.14
553,3777,Sc2O3,6.1
554,3360,Pb10B3O13Br3,3.25
555,1545,Ga0.01P0.01Zn0.99Se0.99,2.6
556,162,AsBr3,2.6
558,1723,Ge40.0Te5.3I8,0.8
560,4412,TlInGeS4,2.3
561,1601,Ga1.02Sb0.98Te0.06,0.68
562,1112,Cu0.05Ga1.95S2.95,2.67
563,4401,TlCr5Se8,0.67
564,966,Cs2Te,3.5
565,3392,PbBiBO4,3.2
566,1014,CsBi3Se5,0.43
567,1816,Hg0.4Cd0.6Se,0.7
568,2049,Ir0.67Se2,0.45
569,1088,CsSmZnSe3,2.53
572,2860,MgSiN2,4.05
573,2066,K10Zn4Ge4S17,3.34
574,1990,In2GeTe3,0.69
576,2011,InAs,0.3967857142857142
577,536,BiOI,2.005
578,2483,Li2ZnSnS4,2.87
579,3560,Rb2AgVS4,1.83
580,684,Cd4LuB3O10,3.7
581,1347,DyTe1.7,0.35
582,2217,KFeCuTe2,1.06
583,2102,K2Ge4Se8,1.8
585,996,Cs4Zr3S14,2.35
586,1168,Cu2Te3O8,2.64
587,376,BaGa2S4,4.125
588,2192,KBaB5O9,3.65
589,677,Cd3In2S2Te4,1.23
590,4350,Tl2CeP2S7,2.4
591,936,Cs2CdP2Se6,2.63
592,181,BP,4.2
594,4851,ZnO,3.402809090909091
595,331,Ba5Ga6SnP12,1.21
596,3350,Pb0.99TeIn0.01,0.53
598,3034,Na8CsB21O36,4.67
600,978,Cs3Bi2Br9,2.5
601,15,Ag2GeS3,1.98
602,1552,Ga0.25Al0.75As,2.42
603,311,Ba4CuGa5Se12,1.45
604,1335,DyN,2.35
605,2193,KBaSbSe3,2.04
606,2132,K2TiCu2S4,2.04
607,1198,Cu3TaS4,3.0
608,508,Bi2Te3,0.25
609,1553,Ga0.28In0.72As,0.55
610,3307,Pb0.92Se0.92Sn0.08Te0.08,0.22
611,3069,NaI,6.074
612,1073,CsNbSe2O7,4.2
613,3373,Pb2O3,1.67
614,69,AgGaGeS4,3.0
615,3167,Nd4InSbSe9,1.57
616,1009,CsAsSe2,1.93
617,1703,Ge0.3Si0.7,1.0
618,2230,KInSe2,2.68
619,3834,Se0.6Te0.4,1.2
620,3349,Pb0.99TeGa0.01,0.42
621,221,Ba2GaNdSe5,2.18
622,690,Cd4V3Te3O15,2.66
623,259,Ba2V4Te3O18,2.64
624,3564,Rb2Cd3Se4,2.37
625,3075,NaInSnS4,2.4
626,1434,EuBi2Se4,1.02
627,3404,PbGa2SiSe6,2.17
628,2560,Li4SrB2O6,6.67
629,3653,RbCu2VS4,1.45
630,1544,Ga0.01As0.01Zn0.99Se0.99,2.59
631,785,Ce4Te7,0.5
633,3378,Pb3BiV3O12,2.5
634,367,BaCu2SnSe4,0.48
635,3045,NaB15,0.32
636,3080,NaLaS3,2.61
637,1699,Ge0.02Si0.98,1.08
639,971,Cs2ZnGe3S8,3.332
641,1036,CsF,10.0
642,3073,NaInS2,1.9
643,4237,Th2GeSe2,1.98
644,3578,Rb2GeB4O9,5.54
645,414,BaSi2,1.3
646,469,Bi14.7In11.3S38,1.45
648,3280,Pb0.61Ge0.39Te,0.56
650,2022,InP2S4,2.585
651,467,Bi12SiO20,3.225
652,1435,EuBi2Te4,0.44
653,2120,K2RbSb,1.2
654,627,CaI2,5.98
655,2956,Na0.5Pb1.75GeSe4,1.6
656,3539,PrTaN2O,2.0
657,1135,Cu0.99Ga1.01Se2.01,1.59
658,4357,Tl2InGaTe4,0.88
660,3363,Pb2B3O7.5H2,4.42
661,1031,CsCu2SbS3,1.63
662,806,CeBiW2O9,2.34
663,3438,PdPSe,0.15
664,2534,Li4.5Mn0.5TeO6,1.97
665,1137,Cu0.9Ga1.1Se2.1,1.593
666,1361,Er2Te3,0.9
667,352,BaAgSbS3,2.2
668,1120,Cu0.2In1.8Se2.8,1.26
669,711,CdIn,0.6
670,1489,EuSe,3.1
672,2143,K3Ga3Ge7Se20,2.23
673,1027,CsCeCdSe3,2.4
674,741,CdTe,1.5494375
675,3646,RbCd4Ga5Se12,2.19
676,925,Cs10Cd4Sn4S17,3.16
677,3688,RbScSe2O6,4.9
678,2027,InS,2.0125
679,1847,Hg4As2.5InBr3.5,1.71
680,3765,SbSeBr,1.855
681,3265,OsSbS,1.2
682,4557,V2O5,2.3916666666666666
683,1200,Cu3TbTe3,0.46
684,4380,Tl4Ta2S11,1.26
685,3991,SnS0.25Se0.75,0.965
686,709,CdIO3Cl,4.3
687,4057,SrCrO4,2.45
688,52,AgAsSe2,1.4
689,1598,Ga1.01Sb0.99Se0.03,0.62
690,3046,NaBa2Cu3S5,0.45
691,2414,Li2B4O7,7.3
692,4425,TlS2,1.8
693,4446,Tm2O3,4.53
694,2615,LiB3O5,7.843333333333334
695,197,Ba2BiInS5,1.55
696,1500,EuTm2Se4,1.8
697,3076,NaInTe2,1.6
698,945,Cs2Hg3S4,2.8
699,3975,SnBr2,3.45
702,515,Bi3Se2NO11,3.59
703,892,Cr2O3,3.4
704,272,Ba3CdSn2S8,2.75
705,3491,Pr4Te7,0.46
706,4102,SrZnSO,3.1
708,4423,TlPrSe2,1.18
709,1091,CsTb9Cd4Se18,1.95
710,2297,La2O2FeSe2,0.7
712,296,Ba3Sn0.87Bi2.13Se8,0.79
713,4153,Tb2Mo3O12,1.505
714,1877,HgS,2.1
715,963,Cs2Sn3Sb2S10,2.34
716,2653,LiGaO2,5.6
717,2191,KBaAsSe3,2.26
718,1651,GaTc,1.42
719,305,Ba3ZnTa2O9,4.32
720,1997,In2Se3,1.2
721,406,BaPrO3,2.0
722,1998,In2Te,0.46
723,3726,RhP2,1.0
724,3302,Pb0.8Se0.8Bi0.4Te0.6,0.22
725,3812,ScN,2.6
726,2776,LuP,1.3
727,365,BaCdSnS4,2.3
728,3321,Pb0.95Se0.95Ge0.05S0.05,0.29
729,3246,NiC2N2,2.0
730,1268,CuPbBiSe3,0.07
731,3678,RbNb3Te2O12,3.49
732,2265,KUO3Cl,2.37
733,4366,Tl2TeI6,1.485
734,3043,NaAsS2,2.28
735,3813,ScNiSb,0.11
736,89,AgNb2PS10,1.78
737,1155,Cu2In4Te7,1.1
738,4843,ZnGeP2,2.16
739,1129,Cu0.5Ga1.5Se2.5,1.76
740,2970,Na2CdGe2Se6,2.37
741,2976,Na2Ga2GeS6,3.29
742,4033,Sr4Te3O8Cl4,4.0
743,2396,LaTaN2O,2.0
744,2897,Mn3Ta2O8,1.89
745,3041,NaAlGeS4,3.6
746,1976,In0.97As0.97Cd0.03Te0.03,0.71
747,1134,Cu0.95In1.05Se2.05,1.07
748,3084,NaNb2PS10,1.72
749,2127,K2SmP2S7,2.59
750,1881,HgTe,0.1716666666666666
751,1197,Cu3Ta7O19,2.47
752,380,BaGa2SnSe6,1.775
753,3886,Sm2YbCuS5,1.28
754,1,Ag0.25Cd0.5In2.25Te4,0.39
755,2994,Na2PtI6O18,2.4
756,1635,GaAs0.8P0.2,1.62
757,1114,Cu0.15Ga1.85Se2.85,1.92
758,2268,KYTe2O6,3.8
759,1040,CsGaSnSe4,1.97
760,2142,K3Ga3Ge7S20,3.25
762,931,Cs2Ba3P4O14,6.31
763,1034,CsEr9Cd4Se18,2.09
765,1551,Ga0.1P0.1Zn0.9Se0.9,2.3
766,2069,K2.15Pb1.7Sb8.15Se15,0.6
767,460,Bi1.4Te3Sb0.6,0.167
768,1970,In0.8As0.8Ga0.2P0.2,0.85
769,3031,Na7.36Ga7.24Sn4.78Se24,1.5
770,2709,LiSbTe2,0.129
771,233,Ba2InDyTe5,1.35
772,3313,Pb0.93TeTl0.07,0.54
773,2597,Li8GeN4,2.61
774,4809,Zn2LiGaO4,4.0
775,3296,Pb0.85Se0.85Sn0.15Te0.15,0.18
776,8,Ag1.75InSb5.75Se11,0.94
777,3608,Rb3Sb2Br9,2.48
778,2713,LiSm3SiS7,2.83
779,186,Ba1.88Ta15O32,0.13
780,680,Cd3Sb2,0.3
781,3668,RbIn5S6,2.5
782,93,AgPbBiSe3,0.13
783,4079,SrO,5.734999999999999
784,1191,Cu3SbS4,0.85
785,2929,MnP4,0.28
786,1117,Cu0.1In1.9Se2.9,1.45
787,3619,Rb4Ti3S14,1.59
788,1859,Hg7InS6Cl5,2.54
789,336,Ba5V3O12F,3.85
791,3645,RbCd4Ga5S12,3.02
792,686,Cd4P2Cl3,2.205
793,3980,SnGe,0.6000000000000001
794,237,Ba2InGdTe5,1.36
795,2388,LaSb,0.8
796,1840,Hg3PS3,1.98
797,3880,Sm2Se3,2.3
798,3323,Pb0.95Sn0.05Se,0.12
799,1830,Hg2Br2,2.6
800,1647,GaS,2.5865153846153843
801,3659,RbGaSnSe4,1.88
802,3654,RbCu4AsS4,2.15
803,2136,K3B6O10Cl,6.89
804,1090,CsTa3Se2O12,3.88
805,542,BiSb0.15,0.022
806,2170,K6Nb2.97Ta1.03S25,2.01
807,1013,CsBi2,0.55
