,Mendele_Number,polarizability(A^3),outer_shell_electrons,number_of_valence_electrons,l_quantum_number,ionic_radius,heat_of_vaporization_(kJ/mol)_,heat_of_fusion_(kJ/mol)_,heat_atomization(kJ/mol),group,gilmor_number_of_valence_electron,families,metallic_valence,1st_ionization_potential_(kJ/mol),Allred-Rockow_electronegativity,Atomic_Number,Atomic_Radus,Atomic_Weight,Boiling_Point_(K),Cohesive_energy,Covalent_Radius,Critical_Temperature,Density_(g/mL),Gordy_electonegativity,Melting_point_(K),,Molar_Denstiy_(mol/ml),Molar_Heat_Capacity(J/mol_K),Nagle_electonegativity,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_s_valence_electrons,Orbital_Radius(pm),Pauling_Electronegativity,Period,Zunger_radii_sum,abs_valence,specific_heat_(J/g_K)_,thermal_conductivity_(W/(m_K))_,valence_d,valence_f,valence_p,valence_s
Co,58,7.5,2,9,2,1.35,376.5,16.19,425,9,4,4,5.78,760,1.84,27,1.52,58.93,3143.15,4.39,1.26,5400,8.9,3.5,1768.15,,0.15,24.75,1.44,3,14,6,0,118.1,1.88,4,2.02,7,0.42,100,7,0,0,2
Cr,49,11.6,1,6,2,1.4,344.3,16.9,397,6,4,4,5.78,653,1.65,24,1.66,52,2945.15,4.1,1.27,4700,7.19,3.27,2130.15,,0.14,23.4,1.29,5,14,6,1,145.3,1.66,4,2.44,5,0.45,93.7,5,0,0,1
Cs,5,59.6,1,1,0,2.6,67.74,2.09,79,1,1,1,1,376,0.66,55,2.98,132.91,942.15,0.8,2.25,1938,1.87,4.43,301.55,,0.01,31.9,0.79,10,14,6,1,251.8,0.79,6,4.31,1,0.24,35.9,0,0,0,1
Cu,64,6.7,1,11,2,1.35,300.3,13.05,338,11,2,4,5.44,745,1.85,29,1.45,63.55,2840.15,3.49,1.38,5421,8.96,3.66,1356.15,,0.14,24.15,1.51,0,14,6,1,119.1,1.9,4,2.04,0,0.38,401,10,0,0,1
Dy,31,24.5,2,3,3,1.75,230.1,11.06,291,3,3,3,3,573,1.09,66,2.28,162.5,2840.15,3.04,1.59,7640,8.55,5.3714,1685.15,,0.0526,27.625,1.09,10,4,6,0,175,1.22,6,3.67,0,0.17,10.7,0,10,0,2
Er,35,22.7,2,3,3,1.75,261,19.9,317,3,3,3,3,589,1.09,68,2.26,167.26,3141.15,3.29,1.57,7250,9.07,5.6669,1802.15,,0.0542,28.4342,1.11,10,2,6,0,170.3,1.24,6,3.63,2,0.17,14.3,0,12,0,2
Eu,25,27.7,2,3,3,1.85,143.5,9.21,178,3,3,3,2,547,1.09,63,2.31,151.965,1802.15,1.86,1.85,4600,5.24,5.0001,1095.15,,0.0345,27.3537,1.06,10,7,6,0,182.6,1.2,6,3.94,7,0.18,13.9,0,7,0,2
F,93,0.63,7,7,1,0.5,3.27,0.26,79,17,7,8,0,1681,4.19,9,0.42,19,85.05,0.84,0.71,144.32,0,10.09,53.35,,0,15.58,4.23,10,14,1,0,39.6,3.98,2,0.41,5,0.82,0.03,0,0,5,2
Fe,55,8.4,2,8,2,1.4,349.6,13.8,418,8,5,4,5.78,762,1.8,26,1.56,55.85,3023.15,4.28,1.25,9250,7.86,3.42,1808.15,,0.14,24.57,1.4,4,14,6,0,122.7,1.83,4,2.11,6,0.44,80.2,6,0,0,2
Ga,74,8.1,3,3,1,1.3,258.7,5.59,286,13,3,5,3.44,579,1.76,31,1.36,69.72,2676.15,2.81,1.26,7620,5.9,4.17,302.95,,0.08,25.8,1.56,10,14,5,0,125.4,1.81,4,1.7,1,0.37,40.6,0,0,1,2
Gd,27,23.5,2,3,3,1.8,359.4,10.05,398,3,3,3,3,593,1.09,64,2.33,157.25,3546.15,4.14,1.61,8670,7.9,5.1142,1586.15,,0.0502,36.1675,1.1,9,7,6,0,171.3,1.2,6,3.91,1,0.23,10.6,1,7,0,2
Ge,79,6.1,4,4,1,1.25,330.9,36.94,377,14,4,6,4,762,1.99,32,1.25,72.61,3103.15,3.85,1.22,8400,5.32,4.64,1220.55,,0.07,23.24,1.81,10,14,4,0,109,2.01,4,1.56,2,0.32,59.9,0,0,2,2
H,92,0.7,1,1,0,0.25,0.45,0.59,218,1,1,7,0,1312,2.3,1,0.53,1.01,20.25,0,0.37,33,0,7.18,14.05,,0,14.42,2.27,10,14,6,1,52.9,2.2,1,1.25,1,14.3,0.18,0,0,0,1
He,98,0.2,0,0,0,0.31,0.08,0.02,0,18,0,9,0,2372,4.16,2,0.31,4,4.25,0,0.32,5.19,0,12.05,0.95,,0,20.79,3.92,10,14,6,2,29.1,0,1,0,2,5.19,0.15,0,0,0,0
Hf,45,16.2,2,4,2,1.55,575,24.06,619,4,2,4,4,659,1.16,72,2.08,178.49,4873.15,6.44,1.5,10400,13.3,6.3704,2500.15,,0.0745,24.9886,1.2,8,0,6,0,147.6,1.3,6,2.91,2,0.14,23,2,14,0,2
Hg,71,5.4,2,12,2,1.5,59.229,2.295,61,12,1,4,4.44,1007,1.76,80,1.71,200.59,630.15,0.67,1.49,1735,13.5,8.2469,234.25,,0.0673,27.882009999999998,1.54,0,0,6,0,112.6,2,6,2.41,0,0.139,8.34,10,14,0,2
Ho,33,23.6,2,3,3,1.75,241,12.2,301,3,3,3,3,581,1.09,67,2.26,164.93032,2973.15,3.14,1.58,7570,8.8,5.5143,1747.15,,0.0534,26.388851199999998,1.1,10,3,6,0,172.7,1.23,6,3.65,1,0.16,16.2,0,11,0,2
I,96,5,7,7,1,1.4,20.75,7.82,107,17,7,8,0,1008,2.36,53,1.15,126.9,457.15,1.11,1.33,819,4.93,5.93,386.65,,0.04,27.16,2.27,0,14,1,0,104.4,2.66,5,1.59,5,0.21,0.45,10,0,5,2
In,75,9.7,2,3,1,1.55,231.5,3.26,243,13,3,5,3.44,558,1.66,49,1.56,114.82,2353.15,2.52,1.44,6730,7.31,4.23,429.75,,0.06,26.41,1.52,0,14,5,0,138.2,1.78,5,2.05,1,0.23,81.6,10,0,1,2
Ir,60,7.6,2,9,2,1.35,604,26.1,665,9,4,4,5.78,878,1.68,77,1.8,192.22,4403.15,6.94,1.37,7800,22.4,7.4345,2683.15,,0.11699999999999999,24.9886,1.43,3,0,6,0,122.7,2.2,6,2.628,7,0.13,147,7,14,0,2
K,3,43.4,1,1,0,2.2,79.87,2.33,90,1,1,1,1,419,0.73,19,2.43,39.1,1033.15,0.93,1.96,2223,0.86,2.79,336.4,,0.02,29.32,0.84,10,14,6,1,216.2,0.82,4,3.69,1,0.75,102.4,0,0,0,1
Kr,101,2.5,0,0,1,0.88,9.03,1.64,0,18,0,9,0,1351,2.97,36,0.88,83.8,121.15,0.12,1.1,209.4,0,7.11,116.15,,0,20.78,2.82,10,14,6,2,79.5,3,4,0,6,0.25,0.01,0,0,0,0
La,13,31.1,2,3,2,1.95,414,6.2,423,3,1,3,3,538,1.09,57,1.95,138.91,3727.15,4.47,1.69,10500,6.15,4.52,1193.15,,0.04,26.39,1.04,9,14,6,0,191.5,1.1,6,3.08,1,0.19,13.5,1,0,0,2
Li,1,24.3,1,1,0,1.45,145.92,3,161,1,1,1,1,520,0.91,3,1.67,6.94,1615.15,1.63,1.34,3223,0.54,3.22,453.65,,0.08,24.99,0.94,10,14,6,1,158.6,0.98,2,1.61,1,3.6,84.7,0,0,0,1
Lu,41,21.9,2,3,2,1.75,355.9,18.6,427,3,3,3,3,524,1.09,71,2.17,174.967,3675.15,4.43,1.6,3540,9.84,6.1824,1936.15,,0.0562,26.24505,1.12,9,0,6,0,155.3,1.27,6,3.37,1,0.15,16.4,1,14,0,2
Mg,68,10.6,2,2,0,1.5,127.4,8.95,148,2,2,2,2,738,1.29,12,1.45,24.31,1363.15,1.51,1.3,2535,1.74,2.97,922.15,,0.07,24.79,1.32,10,14,6,0,127.9,1.31,3,2.03,2,1.02,156,0,0,0,2
Mn,52,9.4,2,7,2,1.4,226,12.05,281,7,5,4,5.78,717,1.75,25,1.61,54.94,2235.15,2.92,1.39,4327,7.43,3.34,1517.15,,0.14,26.37,1.36,5,14,6,0,127.8,1.55,4,2.22,5,0.48,7.82,5,0,0,2
Mo,50,12.8,1,6,2,1.45,598,32,658,6,4,4,5.78,684,1.47,42,1.9,95.94,4885.15,6.82,1.45,9450,10.2,3.55,2890.15,,0.11,23.99,1.26,5,14,6,1,152,2.16,5,2.72,5,0.25,138,5,0,0,1
N,82,1.1,5,5,1,0.65,2.79,0.36,473,15,5,7,3,1402,3.07,7,0.56,14.01,77.35,4.92,0.75,126.19,0,6.88,63.25,,0,14.57,3.12,10,14,3,0,52.1,3.04,2,0.54,3,1.04,0.03,0,0,3,2
Na,2,23.6,1,1,0,1.8,96.96,2.6,109,1,1,1,1,496,0.87,11,1.9,22.99,1156.15,1.11,1.54,2573,0.97,2.54,370.95,,0.04,28.28,0.95,10,14,6,1,171.3,0.93,3,2.65,1,1.23,141,0,0,0,1
Nb,47,15.7,1,5,2,1.45,682,26.4,726,5,3,4,5,652,1.41,41,1.98,92.91,5015.15,7.57,1.37,8700,8.57,3.5,2741.15,,0.09,24.16,1.21,6,14,6,1,158.9,1.6,5,2.76,4,0.26,53.7,4,0,0,1
Nd,19,31.4,2,3,3,1.85,273,7.14,328,3,3,3,3.1,533,1.09,60,2.06,144.24,3400.15,3.4,1.84,7900,7,4.72,1289.15,,0.05,27.41,1.03,10,10,6,0,191.2,1.14,6,3.99,4,0.19,16.5,0,4,0,2
Ne,99,0.4,0,0,1,0.38,1.73,0.33,0,18,0,9,0,2081,4.79,10,0.38,20.18,25.15,0.02,0.69,44.4,0,12.03,24.45,,0,18.24,4.89,10,14,6,2,35.4,0,2,0,6,0.9,0.05,0,0,0,0
Ni,61,6.8,2,10,2,1.35,370.4,17.47,430,10,3,4,5.78,737,1.88,28,1.49,58.69,3003.15,4.44,1.21,6000,8.9,3.58,1726.15,,0.15,25.83,1.47,2,14,6,0,113.9,1.91,4,2.18,8,0.44,90.7,8,0,0,2
O,87,0.79,6,6,1,0.6,3.41,0.22,249,16,6,7,0,1314,3.61,8,0.48,16,90.15,2.62,0.73,154.58,0,8.37,54.75,,0,14.72,3.62,10,14,2,0,45,3.44,2,0.47,4,0.92,0.03,0,0,4,2
Os,57,8.5,2,8,2,1.3,746,31.8,791,8,5,4,5.78,839,1.65,76,1.85,190.23,5303.15,8.17,1.28,12700,22.6,7.2335,3318.15,,0.11900000000000001,24.7299,1.39,4,0,6,0,126.6,2.2,6,2.65,6,0.13,87.6,6,14,0,2
P,83,3.6,5,5,1,1,12.13,0.66,315,15,5,7,3,1012,2.25,15,0.98,30.97,553.15,3.43,1.06,994,1.82,4.96,317.25,,0.06,23.85,2.22,10,14,3,0,91.9,2.19,3,1.24,3,0.77,0.24,0,0,3,2
Pb,81,6.8,4,4,1,1.8,177.7,4.7989999999999995,196,14,4,5,2.44,716,1.854,82,1.54,207.2,2013.15,2.03,1.47,5400,11.4,4.7404,600.65,,0.055,26.936,1.76,0,0,4,0,121.5,1.87,6,2.09,2,0.13,35.3,10,14,2,2
Pd,62,4.8,0,10,2,1.4,357,17.6,378,10,3,4,5.78,804,1.59,46,1.69,106.42,3413.15,3.89,1.31,7100,12,3.79,1827.15,,0.11,25.54,1.61,0,14,6,2,56.7,2.2,5,2.45,0,0.24,71.8,10,0,0,0
Pm,21,30.1,2,3,3,1.85,214,7.88,301,3,3,3,3,535,1.09,61,2.05,144.9127,3273.15,0,1.63,6800,7.26,4.8006,1315.15,,0.0501,26.084286,1.04,10,9,6,0,188.2,1.13,6,3.99,5,0.18,15,0,5,0,2
Pr,17,28.2,2,3,3,1.85,296.8,6.89,356,3,3,3,3.1,527,1.09,59,2.47,140.91,3290.15,3.7,1.65,8900,6.77,4.64,1204.15,,0.05,26.77,1.06,10,11,6,0,194.2,1.13,6,4.48,3,0.19,12.5,0,3,0,2
Pt,63,6.5,1,10,2,1.35,510,19.6,565,10,3,4,5.78,868,1.72,78,1.77,195.08,4100.15,5.84,1.28,8450,21.4,7.7208,2045.15,,0.11,25.3604,1.49,1,0,6,1,122.1,2.28,6,2.7,9,0.13,71.6,9,14,0,1
Rb,4,47.3,1,1,0,2.35,72.22,2.19,86,1,1,1,1,403,0.71,37,2.65,85.47,959.15,0.85,2.11,2093,1.53,3.19,312.05,,0.02,31.02,0.83,10,14,6,1,228.7,0.82,5,4.1,1,0.36,58.2,0,0,0,1
Re,54,9.7,2,7,2,1.35,715,33.2,770,7,5,4,5.78,760,1.6,75,1.88,186.207,5873.15,8.03,1.59,20500,21,7.004,3453.15,,0.113,24.20691,1.35,5,0,6,0,131,1.9,6,2.68,5,0.13,47.9,5,14,0,2
Rh,59,8.6,1,9,2,1.35,493,21.5,556,9,4,4,5.78,720,1.56,45,1.73,102.91,4000.15,5.75,1.35,7000,12.4,3.73,2239.15,,0.12,24.9,1.39,2,14,6,1,136.4,2.28,5,2.52,8,0.24,150,8,0,0,1
Ru,56,9.6,1,8,2,1.3,595,24,643,8,5,4,5.78,710,1.54,44,1.78,101.07,4173.15,6.74,1.26,9600,12.4,3.67,2583.15,,0.12,24.05,1.35,3,14,6,1,141,2.2,5,2.61,7,0.24,117,7,0,0,1
S,88,2.9,6,6,1,1,9.8,1.72,279,16,6,7,2,1000,2.59,16,0.88,32.07,717.85,2.85,1.02,1314,2.07,5.85,385.95,,0.06,22.77,2.49,10,14,2,0,81,2.58,3,1.1,4,0.71,0.27,0,0,4,2
Sb,85,6.6,2,5,1,1.45,77.14,19.87,262,15,5,6,3,834,1.98,51,1.33,121.76,2223.15,2.75,1.38,5070,6.69,5,904.15,,0.05,25.57,1.88,0,14,3,0,119.3,2.05,5,1.77,3,0.21,24.3,10,0,3,2
Sc,11,17.8,2,3,2,1.6,314.2,14.1,378,3,1,3,3,633,1.19,21,1.84,44.96,3105.15,3.9,1.44,5400,2.99,3.07,1814.15,,0.07,26.97,1.17,9,14,6,0,157,1.36,4,2.75,1,0.6,15.8,1,0,0,2
Se,89,3.8,6,6,1,1.15,37.7,6.69,227,16,6,7,2,941,2.43,34,1.03,78.96,958.15,2.46,1.16,1757,4.79,5.76,490.15,,0.06,25.27,2.31,10,14,2,0,91.8,2.55,4,1.29,4,0.32,0.52,0,0,4,2
Si,78,5.4,4,4,1,1.1,384.22,50.55,452,14,4,6,4,787,1.92,14,1.11,28.09,2628.15,4.63,1.11,5159,2.33,4.19,1683.15,,0.08,19.94,1.87,10,14,4,0,106.8,1.9,3,1.42,2,0.71,148,0,0,2,2
Sm,23,28.8,2,3,3,1.85,166.4,8.63,207,3,3,3,2.8,545,1.09,62,2.38,150.36,2067.15,2.14,1.62,5440,7.52,4.8955,1347.15,,0.05,30.072,1.05,10,8,6,0,185.4,1.17,6,4.14,6,0.2,13.3,0,6,0,2
Sn,80,7.7,2,4,1,1.45,295.8,7.03,302,14,4,5,4,709,1.82,50,1.45,118.71,2543.15,3.14,1.41,5809,7.31,4.59,505.15,,0.06,26.95,1.7,0,14,4,0,124,1.96,5,1.88,2,0.23,66.6,10,0,2,2
Sr,8,27.6,2,2,0,2,144,8.3,164,2,2,2,2,549,0.96,38,2.19,87.62,1657.15,1.72,1.92,3059,2.54,3.36,1042.15,,0.03,26.29,1.06,10,14,6,0,183.6,0.95,5,3.21,2,0.3,35.3,0,0,0,2
Ta,48,13.1,2,5,2,1.45,743,31.6,782,5,3,4,5,761,1.34,73,2,180.9479,5698.15,8.1,1.38,10250,16.6,6.5738,3269.15,,0.0917,25.332705999999998,1.26,7,0,6,0,141.3,1.5,6,2.79,3,0.14,57.5,3,14,0,2
Tb,29,25.5,2,3,3,1.75,330.9,10.8,389,3,3,3,3,569,1.09,65,2.25,158.92533999999998,3503.15,4.05,1.59,8470,8.23,5.2379999999999995,1638.15,,0.0518,28.606561199999998,1.08,10,5,6,0,177.5,1.2,6,3.89,9,0.18,11.1,0,9,0,2
Tc,53,11.4,2,7,2,1.35,660,24,677,7,5,4,5.78,702,1.51,43,1.83,97.91,5150.15,6.85,1.56,11500,11.5,3.61,2445.15,,0.12,20.56,1.3,5,14,6,0,139.1,1.9,5,2.65,5,0.21,50.6,5,0,0,2
Te,90,5.5,2,6,1,1.4,52.55,17.49,197,16,6,6,2,869,2.16,52,1.23,127.6,1262.95,2.19,1.35,2329,6.24,5.44,722.65,,0.05,25.52,2.08,0,14,2,0,111.1,2.1,5,1.67,4,0.2,2.35,10,0,4,2
Th,16,32.1,2,2,2,1.8,514.4,16.1,576,3,2,3,4,587,1.11,90,1.8,232.0381,5063.15,6.2,1.65,14550,11.7,2.8784,2023.15,,0.0504,27.844571999999996,1.03,8,14,6,0,178.8,1.3,7,4.98,2,0.12,54,2,0,0,2
Ti,43,14.6,2,4,2,1.4,421,15.45,470,4,2,4,4,659,1.38,22,1.76,47.88,3560.15,4.85,1.36,15500,4.54,3.14,1933.15,,0.09,24.9,1.23,8,14,6,0,147.7,1.54,4,2.58,2,0.52,21.9,2,0,0,2
Tl,76,7.6,3,3,1,1.9,164.1,4.1419999999999995,182,13,3,5,3.44,589,1.7890000000000001,81,1.56,204.3833,1730.15,1.88,1.48,2329,11.9,4.6618,576.15,,0.0582,26.569829,1.59,0,0,5,0,131.9,1.62,6,2.235,1,0.13,46.1,10,14,1,2
Tm,37,21.8,2,3,3,1.75,191,16.84,232,3,3,3,3,597,1.09,69,2.22,168.93421,2223.15,2.42,1.56,6430,9.32,5.8291,1818.15,,0.0552,27.029473600000003,1.12,10,1,6,0,168.1,1.25,6,3.6,3,0.16,16.8,0,13,0,2
U,20,27.4,2,3,3,1.75,477,14,490,3,3,3,5.78,598,1.22,92,1.75,238.0289,4091.15,5.55,1.42,12500,19,3.3168,1405.15,,0.0798,28.563468,1.06,9,11,6,0,177.5,1.38,7,4.72,1,0.12,27.6,1,3,0,2
V,46,12.4,2,5,2,1.35,453,20.9,514,5,3,4,5,651,1.53,23,1.71,50.94,3653.15,5.31,1.25,5930,6.11,3.2,2163.15,,0.12,24.96,1.27,7,14,6,0,140.1,1.63,4,2.43,3,0.49,30.7,3,0,0,2
W,51,11.1,2,6,2,1.35,824,35.4,849,6,4,4,5.78,770,1.47,74,1.93,183.84,5933.15,8.9,1.46,22500,19.3,6.7841,3683.15,,0.105,23.8992,1.31,6,0,6,0,136,2.36,6,2.735,4,0.13,174,4,14,0,2
Xe,102,4,0,0,1,1.08,12.64,2.3,0,18,0,9,0,1170,2.58,54,1.08,131.29,166.05,0.16,1.3,289.77,0.01,6.47,161.35,,0,20.74,2.45,10,14,6,2,98.6,2.6,5,0,6,0.16,0.01,0,0,0,0
Y,12,22.7,2,3,2,1.85,363,11.4,423,3,1,3,3,600,1.12,39,2.12,88.91,3610.15,4.37,1.62,8950,4.47,3.4,1796.15,,0.05,26.67,1.11,9,14,6,0,169.3,1.22,5,2.94,1,0.3,17.2,1,0,0,2
Yb,39,21,2,3,3,1.75,128.9,7.66,152,3,3,3,2,603,1.09,70,2.22,173.04,1469.15,1.6,1.56,4420,6.97,6.0009,1092.15,,0.0403,25.956,1.13,10,0,6,0,165.8,1.1,6,3.59,4,0.15,34.9,0,14,0,2
Zn,69,6.4,2,12,2,1.35,115.3,7.32,131,12,1,4,4.44,906,1.59,30,1.42,65.39,1179.15,1.35,1.31,3380,7.13,3.75,692.75,,0.11,25.5,1.46,0,14,6,0,106.5,1.65,4,1.88,0,0.39,116,10,0,0,2
Zr,44,17.9,2,4,2,1.55,582,16.9,609,4,2,4,4,640,1.32,40,2.06,91.22,4650.15,6.25,1.48,8650,6.51,3.45,2125.15,,0.07,24.63,1.17,8,14,6,0,159.3,1.33,5,2.83,2,0.27,22.7,2,0,0,2
