,ae,exp,mp
Y2O3,1.502699999999999,5.6,4.097300000000001
Mg2Ge,1.5010999999999997,1.67,0.1689000000000002
Sr2TiO4,1.4958000000000005,3.41,1.9141999999999997
Fe2B(PO4)3,1.495,3.52,2.025
LiB3O5,1.4901333333333335,7.843333333333334,6.3532
Lu2O3,1.4788999999999994,5.5,4.021100000000001
In2B(PO4)3,1.4758999999999998,5.39,3.9141
Ho2O3,1.4741999999999997,5.42,3.9458
In2As2Cl2O5,1.4688999999999997,4.62,3.1511000000000005
NdF3,1.4663999999999993,6.15,7.6164
CdI2,1.4617999999999998,3.8,2.3382
LiI,1.4581999999999997,5.84,4.3818
ZrO2,1.4578000000000002,4.99,3.5322
Er2O3,1.4571,5.42,3.9629
LaCuSO,1.4515000000000011,3.12,1.668499999999999
PH6NO4,1.4505999999999997,6.805,5.3544
WO3,1.4471000000000003,2.8000000000000003,1.3529
Sb8I2O11,1.4418000000000002,2.72,1.2782
BaTaNO2,1.4401999999999997,1.78,0.3398000000000003
LiZnN,1.4262999999999997,1.945,0.5187000000000004
GaAgSe2,1.4241333333333335,1.6733333333333331,0.2491999999999997
Sr3Ti2O7,1.4195000000000002,3.26,1.8404999999999996
AlAgSe2,1.4148,2.55,1.1351999999999998
K2MnSnSe4,1.4103999999999999,1.7,0.2896000000000001
CdS,1.4101851851851852,2.535185185185185,1.125
Nb2O5,1.4087,3.08,1.6713
B2O3,1.4067000000000007,4.895,6.3017
B4C,1.4015000000000002,1.64,3.0415
KTaO3,1.4005,3.5,2.0995
CuI,1.3965000000000005,3.028,1.6314999999999995
PrCuSO,1.3884000000000003,3.03,1.6415999999999995
CdAg2GeS4,1.3862999999999999,2.32,0.9337
Rb3Cd(BO2)5,1.3796,2.34,3.7196
Ag5IO6,1.3794999999999997,1.4,0.0205000000000001
Ta4Cu2O11,1.3769000000000005,2.6500000000000004,1.2731
GaHSeO4,1.3676999999999992,5.51,4.1423000000000005
NdCuSO,1.3620000000000005,2.98,1.6179999999999994
K4GeSe4,1.3603,0.64,2.0003
Sm2Mn3(SbS3)4,1.3601999999999999,1.5,0.1398000000000001
ZnGeN2,1.3544999999999998,3.05,1.6955
LiInS2,1.3521333333333327,3.573333333333333,2.2212
Zn(InS2)2,1.3506000000000005,2.753,1.4023999999999996
Ca2Si,1.3490999999999995,1.9,0.5509000000000004
GaAgGeS4,1.338,3.0,1.662
Ba8Al10B12O41,1.3372999999999995,3.1,4.4373
BeSe,1.3363000000000005,4.0,2.6636999999999995
LaTaN2O,1.3287000000000004,2.0,0.6712999999999996
Al2Se3,1.3245999999999998,3.125,1.8004000000000002
LiBiS2,1.3193000000000006,0.16,1.4793000000000005
Ca3Sb2,1.3146,1.4,0.0853999999999999
SmCuSeO,1.3135000000000008,2.6,1.2864999999999993
BaCuTeF,1.3115999999999994,2.3,0.9884000000000004
ZnCu2SiTe4,1.3110000000000002,1.47,0.1589999999999998
Cd(InS2)2,1.3096000000000005,2.3600000000000003,1.0503999999999998
Li2CdSnS4,1.3086999999999998,3.26,1.9513
GeS2,1.3052000000000001,3.5700000000000003,2.2648
Ba(GaSe2)2,1.3022000000000002,3.16,1.8578
Y2S3,1.3007999999999997,2.9,1.5992000000000002
Cd(GaS2)2,1.2995,3.42,2.1205
GaAs,1.2966999999999997,1.4828,0.1861000000000001
Ta7Cu3O19,1.2961000000000007,2.47,1.1738999999999995
Ba2B6H4O13,1.2928000000000006,6.53,5.2372
LaCuSeO,1.291900000000001,2.83,1.5380999999999991
Mg3N2,1.29,2.8,1.5099999999999998
CdSe,1.2868,1.8592,0.5724
SmCuSe2,1.2832000000000003,2.1,0.8167999999999997
MgTe,1.2814,3.6,2.3186
LiGaSe2,1.2810666666666664,3.3466666666666662,2.0656
CsAu,1.2766999999999997,2.3,1.0233
LiSbS2,1.2689000000000001,1.36,0.0910999999999999
LiInSe2,1.2569000000000001,2.83,1.5731
CsGdZnTe3,1.2557,2.13,0.8742999999999999
CaMg2N2,1.2531000000000003,3.25,1.9968999999999997
TlGaTe2,1.2444000000000004,1.8,0.5555999999999996
Ga2HgS4,1.2436,2.815,1.5714
TiO2,1.2413999999999996,3.3,2.0586
Te3As2,1.2411499999999993,1.67375,0.4326000000000007
RbAg5(PS4)2,1.2375000000000003,2.4,1.1624999999999996
ZnSiAs2,1.2334,2.12,0.8866
Cu2Se,1.2321000000000002,1.284,0.0518999999999998
In4As5(BrO4)3,1.2320000000000002,4.22,2.9879999999999995
Eu(InSe2)2,1.2313999999999998,1.31,0.0786000000000002
AlAgS2,1.2308,3.13,1.8992
CsInS2,1.2296,3.4,2.1704
NaIn(IO3)4,1.2281,4.25,3.0219
Ba(GaS2)2,1.2226999999999997,4.13,2.9073
KBaB5O9,1.2193,3.65,4.8693
Sm2O3,1.2176999999999998,5.0,3.7823
LaVI5O16,1.2168999999999999,3.58,2.3631
ZnTe,1.2155888888888895,2.288888888888889,1.0732999999999997
SrSeO4,1.2142,4.75,3.5358
ThTeO,1.2076,1.45,0.2423999999999999
Zn6S5Cl2,1.2048999999999999,2.71,1.5051
Na2Zn(SnS3)2,1.2029,2.93,1.7271
Ag3AsSe3,1.1994000000000002,2.0900000000000003,0.8906000000000001
KV4Ag11O16,1.1990999999999998,2.0,0.8009000000000002
KInSe2,1.1984000000000001,2.68,1.4816
Ag2HgI4,1.1936000000000004,2.47,1.2763999999999998
Sm(ErSe2)3,1.1931000000000003,2.0,0.8068999999999997
Na2Nb4Se4O19,1.1905000000000001,3.56,2.3695
ZnB12(H5O12)2,1.1837999999999997,4.6,5.783799999999999
Li2In2SiS6,1.1820000000000004,3.61,2.4279999999999995
Tl2Cu2SnS4,1.1804999999999999,1.4,0.2195
CsInSe2,1.1798,2.81,1.6302
Rb2Cu2SnS4,1.1787000000000005,2.08,0.9012999999999995
In5CuS8,1.1785999999999996,1.34,0.1614000000000004
Ba2ScTaO6,1.1726999999999999,4.19,3.0173000000000005
HfHg4(PCl3)2,1.1685999999999996,3.26,2.0914
AlP,1.167872727272727,2.7972727272727274,1.6294000000000004
In2S3,1.1651000000000002,2.0,0.8348999999999998
CsGeB3O7,1.1619000000000002,5.76,4.5981
HgO,1.1583,2.345,1.1867
GaP,1.1560999999999997,2.76,1.6039
Ba3FeS4Br,1.1538,1.65,0.4962
Ba2InSbSe5,1.1519999999999997,1.92,0.7680000000000002
Ca(GdS2)2,1.1465999999999998,2.55,1.4034
CsYHgSe3,1.1454,2.54,1.3946
Bi2CO5,1.1452999999999998,3.42,2.2747
BaGa4Se7,1.1444000000000003,2.64,1.4955999999999998
Ba2DyInSe5,1.1435999999999997,2.27,1.1264000000000003
Ba2SmInSe5,1.1420000000000003,2.22,1.0779999999999998
CI4,1.1418999999999997,2.26,1.1181
Rb2Cd3S4,1.1361999999999999,2.92,1.7838
B6As,1.1354000000000004,1.51,2.6454000000000004
K5In3P6Se19,1.1354,2.2,1.0646000000000002
Ba2YInSe5,1.1332000000000004,2.31,1.1767999999999996
BaCaB2O5,1.1326999999999998,5.6,4.4673
AgBiPbS3,1.1317000000000002,1.2,0.0682999999999998
RuS2,1.1316000000000008,1.8,0.6683999999999992
Ba2NdInSe5,1.1307999999999998,2.2,1.0692000000000004
KNb3(SeO6)2,1.1301999999999999,3.46,2.3298
LiGa(GeSe3)2,1.1296000000000006,2.64,1.5103999999999995
NaSbF6,1.1292,3.76,4.8892
Ba2ZnSe3,1.1285999999999998,2.75,1.6214000000000002
KIn(TeO3)2,1.1280999999999999,4.0,2.8719
Li2In2GeS6,1.1270999999999995,3.45,2.3229000000000006
LaCuTeO,1.1260999999999997,2.31,1.1839000000000004
Co2Te3O8,1.1248,3.6,2.4752
CdSiAs2,1.1238000000000001,1.524,0.4001999999999999
K2Mn(SnSe3)2,1.1209,2.0,0.8791
Ga2S3,1.1194000000000002,2.83,1.7106
K2Hg3(GeS4)2,1.1179000000000001,2.67,1.5520999999999998
KTa3(TeO6)2,1.1168999999999993,4.06,2.9431000000000003
NdLuSe3,1.1144,1.61,0.4956
La4Cd4In2S13,1.1131000000000006,2.27,1.1568999999999994
Ga2Se2O7,1.1125000000000003,4.61,3.4975
ZrS3,1.1117000000000001,2.2249999999999996,1.1132999999999995
PbSeO4,1.1077000000000004,4.3,3.1922999999999995
K2Sn(AuS2)2,1.1067,2.75,1.6433
ZrHg4(PCl3)2,1.1066000000000003,3.22,2.1134
ThSO,1.1055000000000006,2.22,1.1144999999999996
KNb3(TeO6)2,1.1050999999999997,3.52,2.4149000000000003
Ba2ErInSe5,1.1046,2.29,1.1854
Na2In2GeSe6,1.1028,2.47,1.3672000000000002
Ag2Mo(I2O7)2,1.0989000000000004,3.06,1.9610999999999996
NbCu3Se4,1.0895999999999997,2.45,1.3604000000000005
KInS2,1.0893,3.0,1.9107
HfHg4(AsCl3)2,1.0888,2.47,1.3812000000000002
RbNb3(TeO6)2,1.0867,3.49,2.4033
InHg7S6Cl5,1.0850999999999997,2.54,1.4549000000000003
CdGeP2,1.0811666666666664,1.7266666666666666,0.6455000000000002
TaCu3S4,1.0768999999999995,3.0,1.9231000000000005
Dy2O3,1.074500000000001,5.0,3.925499999999999
CsAg2AsS3,1.0727,2.7,1.6273000000000002
Ga2SnGeS6,1.0718,2.04,0.9682
Cs2Hg3S4,1.0675000000000001,2.8,1.7324999999999997
CsSc(SeO3)2,1.0667999999999997,5.2,4.1332
PrLuSe3,1.0665,1.56,0.4935
CsSbS2,1.0636000000000003,2.8,1.7363999999999995
K2PAuS4,1.0608999999999997,2.63,1.5691000000000002
Eu(SbS2)2,1.0605,1.2,0.1394999999999999
Al2S3,1.0564999999999993,4.1,3.0435000000000003
ZnSb,1.0551333333333333,1.0833333333333333,0.0282
ZrSe3,1.0520999999999996,1.45,0.3979000000000003
LaGaO3,1.0517000000000003,4.4,3.3483
CuPS3,1.0445000000000002,2.2,1.1555
Zn(InTe2)2,1.0442333333333333,1.8733333333333333,0.8291
K2Th(CuS2)2,1.0439999999999996,2.17,1.1260000000000003
SbPbIO2,1.0433999999999997,2.48,1.4366000000000003
K2Ce(PO4)2,1.0420999999999998,2.46,1.4179000000000002
AlCuTe2,1.0413999999999999,2.06,1.0186000000000002
NbCuO3,1.041,2.0,0.959
Dy(CuSe)3,1.0397,0.2,1.2397
CdSnP2,1.0380000000000003,1.3075,0.2694999999999998
K2La2Sb2S9,1.0373,2.2,1.1627
Ba3ThSe7,1.037,1.96,0.923
NaBiS2,1.0368999999999995,0.41,1.4468999999999994
Ga2HgSe4,1.0332,1.95,0.9168
YMoClO4,1.0326,3.82,2.7874
Na2In2SiS6,1.0325000000000002,3.27,2.2375
K2Sn2Hg3S8,1.0321000000000002,2.45,1.4179
Sb2O3,1.0310999999999995,3.255,2.2239000000000004
CsLaHgSe3,1.0305,2.485,1.4545
Cd(GaSe2)2,1.027966666666667,2.376666666666667,1.3487
Ga2Se3,1.0263999999999998,2.07,1.0436
Tb(CuSe)3,1.0248000000000002,0.16,1.1848
BeS,1.0246999999999997,4.17,3.1453
Mg3As2,1.0189999999999997,2.4499999999999997,1.431
Rb4Ge3B6O17,1.0188000000000006,5.42,4.401199999999999
ThO2,1.0187000000000004,3.4,4.4187
Gd2(MoO4)3,1.0185999999999993,4.119999999999999,3.1014
CaZnSO,1.0147000000000004,3.7,2.6853
NaIn(TeO3)2,1.0126999999999997,4.0,2.9873000000000003
Na2Zn(GeSe3)2,1.0124,2.36,1.3476
Mn(PbO2)2,1.0105000000000004,1.5,0.4894999999999996
K2La2Ti3O10,1.0102000000000002,3.05,2.0397999999999996
CsSmHgSe3,1.0075,2.37,1.3625
Cs2Hg6S7,1.0069000000000001,1.63,0.6230999999999998
Ba3MgTa2O9,1.0067000000000004,4.28,3.2733
BaAl4Se7,1.0067,3.4,2.3933
KIO3,1.0042,3.8575,2.8533
Ba3Tb2(PS4)4,0.9988999999999999,3.37,2.3711
Ba5In4Te4S7,0.9971000000000001,2.13,1.1328999999999998
Ba2ThCu2Se5,0.9953999999999996,1.75,0.7546000000000004
Rb7Th2(P2Se7)3,0.9942999999999997,2.07,1.0757
RbGeB3O7,0.9932999999999996,5.58,4.5867
CdHg4(AsI2)2,0.9883,1.45,0.4617
Cs3Sb,0.9874,1.6,0.6126
KCu3S2,0.9872999999999994,1.46,0.4727000000000005
SrPbO3,0.9858999999999998,1.78,0.7941000000000003
K2Nd2Ti3O10,0.9819,3.25,2.2681
ZnGeP2,0.9817999999999998,2.16,1.1782000000000004
RbTa3(TeO6)2,0.9802,3.88,2.8998
Na2In2GeS6,0.9793000000000003,3.17,2.1906999999999996
Na2Ge2Se5,0.9776999999999998,2.38,1.4023
V2Pb4(Se2O7)3,0.9761999999999995,3.37,2.3938000000000006
Na(GeP)3,0.9745000000000004,2.06,1.0854999999999997
Ba3Ta2ZnO9,0.9712000000000001,4.32,3.3488
Sm3B(SO)3,0.9698999999999995,2.5,1.5301000000000005
K10Zn4Sn4S17,0.9696000000000007,3.1500000000000004,2.1803999999999997
ScCuO2,0.9690999999999996,3.3,2.3309
Eu(BiSe2)2,0.9659,1.02,0.0541
CdTe,0.9653999999999998,1.55,0.5846000000000002
Sc2S3,0.9650000000000003,2.0,1.0349999999999997
K2Cd3S4,0.9623999999999999,2.75,1.7876
Zn(InSe2)2,0.9621000000000001,1.955,0.9929
Ho2S3,0.9612999999999996,0.5,1.4612999999999996
BaGa4S7,0.9599999999999995,3.54,2.5800000000000005
NaInTe2,0.9584000000000001,1.6,0.6416
Rb2Cd3Se4,0.9577,2.37,1.4123
K2Cd3Se4,0.9572,2.36,1.4027999999999998
NaCdAsS3,0.9547000000000001,2.93,1.9753
CdIClO3,0.9533,4.3,3.3467
Mg3AsN,0.9517999999999995,1.33,2.2817999999999996
CsCu2AsS3,0.9467999999999996,2.3,1.3532000000000002
K2ZnTe2,0.9462999999999999,3.0,2.0537
GeSe2,0.9443999999999997,2.3825,1.4381000000000002
K3Th2Cu3S7,0.9430000000000005,2.49,1.5469999999999997
Ba(InSe2)2,0.9429999999999998,2.63,1.687
NaIn3S5,0.9372000000000003,2.18,1.2428
Ba3GeS5,0.9367999999999999,3.0,2.0632
CsCdBO3,0.9338,2.58,1.6462
CdAs2,0.933466666666667,1.0666666666666669,0.1331999999999999
GaGeTe,0.9327999999999999,1.1,0.1672000000000002
Hg8Bi3As4Cl13,0.9301000000000001,2.43,1.4999
LiMgN,0.9293000000000005,3.2,2.2706999999999997
NaAsS2,0.9246999999999999,2.28,1.3553
K6Cd4Sn3Se13,0.9242000000000001,2.33,1.4058
LaZnAsO,0.9239999999999995,1.5,0.5760000000000005
ZnSnP2,0.9232,1.6275,0.7042999999999999
GdScS3,0.9226000000000005,2.1,1.1773999999999996
Ba3Er2(PS4)4,0.9222999999999995,3.3,2.3777000000000004
Cs2Cd3Te4,0.9213000000000002,2.48,1.5586999999999998
CsInHgS3,0.9209999999999996,2.3,1.3790000000000002
Cd4As2I3,0.9204000000000001,2.095,1.1746
Ba3Ho2(PS4)4,0.9201000000000001,3.3,2.3798999999999997
La4Fe(SbS5)2,0.9200999999999997,1.0,0.0799000000000003
SnSe2,0.9182000000000001,1.62,0.7018
Cs4Zr3S14,0.9170999999999996,2.35,1.4329000000000005
SnS2,0.9152000000000005,2.43,1.5147999999999997
Ba4LiGa5Se12,0.9145999999999999,2.65,1.7354
InP,0.9138999999999999,1.3685,0.4546000000000001
Ca4Bi6O13,0.9138000000000002,2.76,1.8461999999999996
Rb3Sb,0.9121999999999999,1.0,0.0878000000000001
SnBr2,0.9113000000000002,3.45,2.5387
P2Se5,0.9088000000000003,2.2,1.2912
BaBClF4,0.9082999999999997,6.89,5.9817
KThCuS3,0.9078000000000004,2.95,2.0422
GaAgTe2,0.9074,1.1,0.1926000000000001
Cs2ZnGe3Se8,0.9072,2.31,1.4028
Ba3Dy2(PS4)4,0.9063999999999992,3.28,2.3736000000000006
La2Zn(SeO)2,0.9041999999999999,3.4,2.4958
Cs2AgBiCl6,0.9037,2.77,1.8663
TlCl,0.900990909090909,3.419090909090909,2.5181
Tb2O3,0.9005999999999998,3.0,3.9006
Tl2PAuS4,0.9005999999999998,2.2,1.2994000000000003
IrSe2,0.8982999999999997,0.95,0.0517000000000003
Pb3Se2(BrO3)2,0.8971000000000005,3.73,2.8328999999999995
Cd4As2Br3,0.8929333333333332,1.8633333333333333,0.9704
Gd4GaSbS9,0.8919999999999999,2.41,1.5180000000000002
BiClO,0.8918999999999997,3.46,2.5681000000000003
TlHg6S4Br5,0.8893,3.03,2.1407
LiH3(SeO3)2,0.8886000000000012,4.9,4.011399999999999
CrO3,0.8885000000000001,1.4,2.2885
As2Rh,0.8874999999999997,1.15,0.2625000000000002
Ba2YInTe5,0.8868000000000003,1.36,0.4731999999999998
POsSe,0.8843000000000001,1.4,0.5156999999999998
GaCuTe2,0.8842000000000002,1.09,0.2057999999999999
LiGaS2,0.8825333333333334,3.8433333333333337,2.9608000000000003
ThSeO,0.8809999999999998,1.65,0.7690000000000001
InAgTe2,0.88,0.945,0.0649999999999999
Na2Zn(GeS3)2,0.8785000000000003,3.145,2.2664999999999997
Si(Bi3O5)4,0.8772000000000011,3.225,2.347799999999999
La2ZrS5,0.8765000000000003,2.01,1.1334999999999995
Ge(Bi3O5)4,0.8738000000000001,3.25,2.3762
TeSe,0.8737999999999992,1.58,0.7062000000000008
SrTaNO2,0.8731999999999995,1.99,1.1168000000000005
